Number,Title,HoursPlayed
365,PRO EVOLUTION SOCCER 2019,500474
366,Tom Clancy's The Division,413285
367,Idle Wizard,522828
368,大富翁10(Richman 10),450916
369,Town of Salem,599635
370,For The King,546348
371,Wolcen: Lords of Mayhem,455244
372,Counter-Strike Nexon: Studio,582491
373,Life is Feudal: MMO,510127
374,Spore,657347
375,Territory Idle,474115
376,Brick Rigs,468003
377,Dragon's Dogma: Dark Arisen,584004
378,My Summer Car,515833
379,Divinity: Original Sin Enhanced Edition,709506
380,Bloons TD Battles,555349
381,DRAGON BALL XENOVERSE 2,952711
382,Conqueror's Blade: Frontier,344720
383,Game of Thrones Winter is Coming,368643
384,Streets of Rogue,412558
385,Trailer Park Boys: Greasy Money,409928
386,"Warhammer 40,000: Dawn of War - Soulstorm",557765
387,DiRT Rally 2.0,567715
388,TERA,510352
389,Craft The World,472099
390,Sniper Ghost Warrior 3,423227
391,Stick Fight: The Game,828602
392,Governor of Poker 3,405874
393,Age of Wonders III,463132
394,Borderlands: The Pre-Sequel,529724
395,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,483823
396,Lobotomy Corporation,292122
397,OCTOPATH TRAVELER,539864
398,Far Cry New Dawn,815870
399,Fallout: New Vegas RU,384759
400,Gold Rush: The Game,423296
401,Ni no Kuni™ II: Revenant Kingdom,310150
402,Pillars of Eternity,572098
403,No-brainer Heroes,370527
404,Total War Saga: Thrones of Britannia,588224
405,CreativeDestruction,396158
406,Far Cry 4,523414
407,Sid Meier's Civilization: Beyond Earth,440586
408,Football Manager 2014,467970
409,Call of Duty: World at War,563738
410,Life is Feudal: Your Own,462632
411,The Elder Scrolls: Legends,372392
412,Infestation: The New Z,415821
413,Miscreated,592939
414,Sniper Ghost Warrior Contracts,523999
415,Pavlov VR,720957
416,From The Depths,308467
417,A Hat in Time,425931
418,Just Cause 4,522986
419,MOBIUS FINAL FANTASY,498750
420,Quake Champions,403313
421,Rise of Nations: Extended Edition,504281
422,Wizard And Minion Idle,375200
423,Pummel Party,1044047
424,PC Building Simulator,542578
425,Shakes and Fidget,364405
426,Rocksmith® 2014 Edition - Remastered,603217
427,Victoria II,605085
428,Cossacks 3,516570
429,Sins of a Solar Empire: Rebellion,544715
430,HITMAN™,398795
431,Call of Duty: WWII - Multiplayer,671399
432,Age of Civilizations II,402674
433,LEGO® Star Wars™: The Complete Saga,620080
434,Hacknet,295803
435,Stronghold Crusader HD,516197
436,SoulWorker,532567
437,隐形守护者 The Invisible Guardian,239219
438,Mirror,423279
439,Resident Evil 6 / Biohazard 6,404504
440,Assetto Corsa Competizione,533151
441,Lost Castle,289054
442,theFisher Online,307904
443,Mafia III,497389
444,ShellShock Live,559956
445,Portal,555885
446,Castle Crashers,609910
447,Eco,440721
448,Dungeon Defenders II,436975
449,Avorion,421486
450,Dungreed,413665
451,Call of Duty: Modern Warfare 2 - Multiplayer,467400
452,Enderal: Forgotten Stories,406983
453,A Dance of Fire and Ice,240071
454,Stronghold Kingdoms,340884
455,Eternal Card Game,384551
456,Besiege,311839
457,People Playground,397095
458,Neverwinter Nights: Enhanced Edition,448397
459,Arma 2: Operation Arrowhead,394942
460,DC Universe Online,336173
461,BioShock Infinite,467375
462,Sid Meier's Civilization IV,441172
463,ShareX,350159
464,Metin2,407479
465,Wreckfest,694345
466,MapleStory 2,456709
467,Black Survival,258396
468,Dungeon of the Endless,97168
469,Torchlight II,398171
470,Celeste,457218
471,Supreme Commander: Forged Alliance,388051
472,FINAL FANTASY X/X-2 HD Remaster,445198
473,Saints Row: The Third,483379
474,Call to Arms,266553
475,Half-Life,540450
476,DiRT Rally,386379
477,Green Hell,401422
478,War Robots,356809
479,Doki Doki Literature Club,391970
480,Mad Max,448130
481,Railway Empire,431237
482,Pixel Worlds,242494
483,Business Tour - Online Multiplayer Board Game,924126
484,ACE COMBAT™ 7: SKIES UNKNOWN,384062
485,Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,339598
486,懒人修仙传,278608
487,Terminal Hacker,325268
488,Sword Art Online: Fatal Bullet,429822
489,Ultimate General: Civil War,474731
490,Motorsport Manager,492213
491,No More Room in Hell,254546
492,Prey,469656
493,Middle-earth™: Shadow of Mordor™,513108
494,BONEWORKS,763171
495,ATOM RPG,286238
496,Portal Knights,421446
497,嗜血印 Bloody Spell,76865
498,Train Sim World® 2020,345501
499,Mindustry,463006
500,Foxhole,532416
501,Far Cry® 3,419386
502,Borderless Gaming,369180
503,Borderless Gaming,369180
504,Mafia II,472246
505,Hexagon Defense,8146
506,Romance of the Three Kingdoms XI with Power Up Kit,174645
507,TERA,461149
508,Mabinogi,309195
509,Panzer Corps,346243
510,Baldur's Gate: Enhanced Edition,402058
511,Golf With Your Friends,483460
512,PAYDAY 2 Demo,294023
513,Battlerite,440031
514,The Lord of the Rings Online™,390370
515,Wolfenstein II: The New Colossus,517960
516,Blush Blush,308521
517,Spintires®,510374
518,Friday the 13th: The Game,640485
519,Stranded Deep,378334
520,Outward,701549
521,Age of Wonders: Planetfall,402591
522,Beasts of Bermuda,338914
523,Gears 5,416094
524,Stronghold Crusader 2,319115
525,DRAGON QUEST® XI: Echoes of an Elusive Age™,487794
526,Anno 1800,377435
527,Plague Inc: Evolved,406105
528,Feed and Grow: Fish,265795
529,"Star Wars: Battlefront 2 (Classic, 2005)",543420
530,Zula Europe,410284
531,Elsword,336438
532,Shadow Warrior 2,158523
533,GreedFall,620678
534,Command and Conquer: Red Alert 3,309143
535,Saints Row IV,444218
536,FINAL FANTASY VII,340092
537,Might & Magic Heroes VII ,306252
538,Call of Duty: Modern Warfare 2,334148
539,Baldur's Gate II: Enhanced Edition,330369
540,rFactor 2,342007
541,Creativerse,316709
542,Dishonored,428638
543,Heroes of Hammerwatch,358729
544,Software Inc.,181092
545,Blade & Sorcery,388258
546,Automation Empire,379602
547,Automation Empire,379602
548,Deus Ex: Mankind Divided™,374234
549,UNO,605901
550,Baba Is You,436925
551,Sleeping Dogs: Definitive Edition,290937
552,Mount & Blade: With Fire and Sword,246211
553,Kingdoms and Castles,398496
554,some some convenience store 썸썸 편의점,21034
555,Catan Universe,332162
556,3DMark,317076
557,Dragon Age: Origins - Ultimate Edition,386502
558,BattleBlock Theater,277838
559,Call of Duty: Black Ops II - Multiplayer,483145
560,Getting Over It with Bennett Foddy,318831
561,Survarium,269502
562,Football Manager 2012,306251
563,Call of Duty: Modern Warfare 3,313397
564,MechWarrior Online,307002
565,The Jackbox Party Pack 3,382890
566,The Evil Within 2,325487
567,RESIDENT EVIL 7 biohazard / BIOHAZARD 7 resident evil,328193
568,Darksiders Genesis,490354
569,Master of Orion,318174
570,Far Cry Primal,447085
571,Pro Cycling Manager 2019,269334
572,Forts,314084
573,Rising Storm/Red Orchestra 2 Multiplayer,287610
574,ELEX,393135
575,Hades' Star,214426
576,Call of Duty: WWII,357533
577,Mortal Kombat X,346392
578,SOULCALIBUR VI,366135
579,SimCity 4 Deluxe,334995
580,Football Manager 2020 Demo,339375
581,Danganronpa 2: Goodbye Despair,303349
582,Call of Duty: Modern Warfare 3 - Multiplayer,318509
583,resident evil 4 / biohazard 4,379911
584,resident evil 4 / biohazard 4,379911
585,Galactic Civilizations III,338481
586,S.T.A.L.K.E.R.: Call of Pripyat,212112
587,Sudden Strike 4,242159
588,Resident Evil 5 / Biohazard 5,363215
589,UBOAT,291159
590,Wallpaper Maker （造物主视频桌面）,177235
591,Borderlands 2 RU,274061
592,PixARK,232218
593,Wolfenstein: The New Order,403528
594,Life is Strange™,418665
595,Football Manager 2019 Touch,273678
596,Football Manager 2020 Editor,262904
597,The Escapists 2,503591
598,Grimm,230212
599,Counter-Strike: Condition Zero,336543
600,Riders of Icarus,283359
601,L.A. Noire,181348
602,Bloodstained: Ritual of the Night,359438
603,Steel Division 2,277440
604,Everlasting Summer,253748
605,Dark and Light,262677
606,DARK SOULS™: Prepare To Die Edition,267691
607,100% Orange Juice,264629
608,Dead Frontier 2,245642
609,APB Reloaded,323653
610,City Car Driving,269701
611,Disgaea 5 Complete,152172
612,Star Conflict,219353
613,Dungeon Defenders,282397
614,Yakuza Kiwami 2,222909
615,Foundation,330753
616,Grand Theft Auto: Vice City,216203
617,Bus Simulator 18,242342
618,War Selection,281917
619,Batman: Arkham City GOTY,278665
620,Project Hospital,226683
621,Left 4 Dead,436126
622,Gothic 3,299825
623,RaceRoom Racing Experience ,371495
624,Generation Zero,371064
625,The Elder Scrolls III: Morrowind,301982
626,Battlefleet Gothic: Armada 2,302877
627,Call of Duty: Black Ops,314408
628,Marvel Puzzle Quest,272585
629,Action! - Gameplay Recording and Streaming,203808
630,SimplePlanes,176625
631,"Warhammer 40,000: Inquisitor - Martyr",314183
632,Subsistence,262086
633,FINAL FANTASY XII THE ZODIAC AGE,293432
634,Assassin's Creed Rogue,161464
635,Dungeon Fighter Online,235904
636,Ironsight,128589
637,Ironsight,327207
638,Zombidle: REMONSTERED,206220
639,Metro: Last Light Redux,249428
640,Vindictus,212552
641,Ultimate Chicken Horse,312705
642,Blood Bowl 2,295160
643,ParanormalHK,61747
644,NBA 2K17,150653
645,Ori and the Blind Forest: Definitive Edition,343740
646,S.T.A.L.K.E.R.: Shadow of Chernobyl,210841
647,F1 2018,288027
648,Ultimate Custom Night,264135
649,雀姬,127123
650,Assassin's Creed Brotherhood,159319
651,Winning Post 8 2018,128381
652,Metro 2033 Redux,251166
653,LEGO® City Undercover,151262
654,A Plague Tale: Innocence,408279
655,Aura Kingdom,250237
656,Day of Defeat: Source,313970
657,Alien Swarm: Reactive Drop,151723
658,Universe Sandbox ²,227859
659,Planetary Annihilation: TITANS,311188
660,Football Manager 2013,229847
661,Rules Of Survival,150230
662,Yakuza Kiwami,229495
663,Transformice,409443
664,Spyro™ Reignited Trilogy,361012
665,Beholder,88771
666,HuniePop,241723
667,Coloring Game 2,29426
668,Killing Floor,267725
669,Castle Story,90126
670,NosTale,242023
671,Digimon Story Cyber Sleuth: Complete Edition,246150
672,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,122090
673,Secret Neighbor,191932
674,Golf It!,389225
675,BioShock Remastered,324956
676,龙魂传奇:76复古版MMO,40491
677,Life is Strange 2,493689
678,Life is Strange 2,493689
679,Star Trek Timelines,196542
680,Call of Duty: Black Ops II - Zombies,378488
681,Warhammer: Chaos & Conquest,180622
682,Tropico 5,257558
683,Stream Avatars,196495
684,Watch_Dogs,180003
685,Euro Truck Simulator 2 Demo,138555
686,Time Clickers,186146
687,DARK SOULS™ II,232225
688,Armello,199903
689,Duck Game,250978
690,Gothic II: Gold Edition,238776
691,Gloria Sinica: Han Xiongnu Wars,117591
692,Vainglory,197096
693,UnderMine,405769
694,Night of the Full Moon,118848
695,Pandemic Express - Zombie Escape,10399
696,This Land Is My Land,143890
697,LEGO® MARVEL Super Heroes,178077
698,Bejeweled 3,213919
699,Robot vs Birds Zombies,16830
700,Rec Room,270678
701,Crusaders of Light,185532
702,Dirty Bomb,211531
703,Sven Co-op,207727
704,Automation - The Car Company Tycoon Game,224803
705,Soundpad Demo,214465
706,"Warhammer 40,000: Dawn of War II - Retribution",225862
707,Poly Bridge,276994
708,Broforce,241539
709,Unrailed!,244824
710,Dicey Dungeons,266510
711,Into the Breach,311076
712,Breeders of the Nephelym: Alpha,218353
713,Order of Battle: World War II,213078
714,KARDS - The WWII Card Game,162656
715,Lust Epidemic,54803
716,Beholder 2,41031
717,Closers,216762
718,Danganronpa: Trigger Happy Havoc,280904
719,Airport CEO,224054
720,FINAL FANTASY XIII,211560
721,Soda Dungeon,210407
722,Clone Drone in the Danger Zone,191360
723,Hero Siege,276402
724,Dungeons & Dragons Online®,204077
725,Amazing Frog?,146017
726,Shadow Tactics: Blades of the Shogun,255158
727,Tales of Berseria,213134
728,Mighty Party,125470
729,Hotline Miami 2: Wrong Number,165844
730,Arizona Sunshine,156886
731,Anno 1404: Venice,269287
732,RutonyChat,215172
733,Stonehearth,185295
734,Wizardry: Labyrinth of Lost Souls,4601
735,Half-Life 2: Episode Two,180212
736,New Frontier,148292
737,Overcooked,198253
738,Thronebreaker: The Witcher Tales,293677
739,Danganronpa V3: Killing Harmony,216484
740,MOBIUS FINAL FANTASY,227373
741,Wurm Unlimited,176308
742,State of Decay: Year-One,298211
743,Axis & Allies 1942 Online,189431
744,Borderlands GOTY Enhanced,248805
745,侠客风云传(Tale of Wuxia),135832
746,Cooking Simulator,137599
747,Void Bastards,53426
748,Dungeons 3,278296
749,War Planet Online: Global Conquest,188648
750,Batman™: Arkham Origins,239936
751,Ratropolis,118400
752,"Papers, Please",294038
753,Command and Conquer: Red Alert 3 - Uprising,148412
754,Hitman: Absolution,203308
755,Ni no Kuni Wrath of the White Witch™ Remastered,79568
756,CryoFall,193051
757,Supreme Commander 2,227233
758,HELLDIVERS™,223816
759,Kingdom Two Crowns,283793
760,THE KING OF FIGHTERS XIII STEAM EDITION,118762
761,CarX Drift Racing Online,179878
762,Fernbus Simulator,155559
763,Bloons TD5,234494
764,The Binding of Isaac,167105
765,Command and Conquer 3: Tiberium Wars,198915
766,Kingdom Under Fire 2,309060
767,Eastside Hockey Manager,180476
768,"Warhammer 40,000: Dawn of War - Dark Crusade",208343
769,Spelunky,229438
770,Soccer Manager 2019,190089
771,Creeper World 3: Arc Eternal,205223
772,Winning Post 9,103453
773,AdventureQuest 3D,170169
774,AION Free-to-Play,196175
775,South Park The Fractured But Whole,353798
776,RPG Maker VX Ace,153907
777,Holyday City: Reloaded,151050
778,RIFT,170539
779,Need for Speed: Hot Pursuit,189328
780,LEGO® STAR WARS™: The Force Awakens,190289
781,Kingdoms of Amalur: Reckoning™,206578
782,Call of Duty: Black Ops - Multiplayer,234717
783,Hand Simulator,383389
784,POSTAL 2,206308
785,The Surge 2,167970
786,RADical ROACH Remastered,3703
787,Fallout 3 - Game of the Year Edition,224599
788,Just Cause 2,181609
789,BLOCKADE Classic,101682
790,Darksiders II Deathinitive Edition,188232
791,Command and Conquer 3: Kane's Wrath,167655
792,Call of War,155664
793,Bit Heroes,177493
794,Atom Fishing II,129275
795,Pro Evolution Soccer 2017,140052
796,Time Warpers,77146
797,Deus Ex: Human Revolution - Director's Cut,183149
798,Life is Feudal: Forest Village,199633
799,Game Dev Tycoon,207186
800,Injustice™ 2,194860
801,DiRT 4,163364
802,Quake Live,239439
803,Tower Unite,197589
804,Project CARS,140301
805,Project: Gorgon,119630
806,BRAIN / OUT,111139
807,Phantom Doctrine,205385
808,LEGO® MARVEL Super Heroes 2,157183
809,Idle Space Raider,132501
810,Viscera Cleanup Detail,167989
811,Assassin's Creed Revelations,87086
812,Steep,225781
813,Anno 2205,168720
814,Spiral Knights,160191
815,S.T.A.L.K.E.R.: Clear Sky,124608
816,Puyo Puyo™Tetris® ,156504
817,Terraforming Mars,172651
818,Serious Sam VR: The Last Hope,52350
819,Heroes of Might & Magic V: Tribes of the East,160992
820,Holdfast: Nations At War,179372
821,RAGE 2,257710
822,Tactical Monsters Rumble Arena,118161
823,LEGO® Jurassic World,119833
824,Paint the Town Red,155349
825,The Jackbox Party Pack 6,233010
826,Last Year,247837
827,Might & Magic: Heroes VI,135810
828,LEGO® Star Wars™ III: The Clone Wars™,171142
829,DRAGON QUEST BUILDERS 2 JUMBO DEMO,143258
830,Rivals of Aether,221551
831,Battlefield: Bad Company 2,210161
832,BLOCKPOST,112951
833,Hotline Miami,115542
834,Sid Meier's Civilization IV: Colonization,145003
835,Conflict of Nations: World War 3,121345
836,GemCraft - Chasing Shadows,134733
837,Mist Survival,151699
838,Farmer's Dynasty,173317
839,Crash Bandicoot™ N. Sane Trilogy,224636
840,The Elder Scrolls V: Skyrim VR,211355
841,Sniper Elite 3,233558
842,Ylands,213366
843,Hand Simulator: Survival,209993
844,Super Animal Royale,196768
845,World of Guns: Gun Disassembly,113912
846,Zuma Deluxe,147516
